序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,法学,安徽大学,规划基金项目,回应型监督理论与监督机制研究：以县委权力为例,杨成炬,2011
2,法学,安徽大学,规划基金项目,我国危害食品安全犯罪体系研究,陈结淼,2011
3,法学,安徽工业大学,规划基金项目,企业慈善捐赠法律保障机制研究,戚枝淬,2011
4,法学,安徽工业大学,规划基金项目,节能减排背景下政府环境责任实现机制研究,邓可祝,2011
5,法学,北京大学,规划基金项目,我国原子能立法研究,唐应茂,2011
6,法学,北京大学,规划基金项目,国际视野中的我国反洗钱立法与完善,王新,2011
7,法学,北京工商大学,规划基金项目,体育知识产权保护问题研究,徐康平,2011
8,法学,北京工业大学,规划基金项目,内幕交易监管的困境及其对策研究,聂孝红,2011
9,法学,北京工业大学,规划基金项目,后金融危机时代中国制造业产业升级的知识产权战略研究,靳晓东,2011
10,法学,北京师范大学,规划基金项目,事业单位改革中法人治理结构及其法律调控模式研究,夏利民,2011
11,法学,北京外国语大学,规划基金项目,社会转型期的群体性暴力事件与“仇恨犯罪”治理控制研究,王文华,2011
12,法学,长安大学,规划基金项目,西北地区能源开发生态保护长效机制研究,刘志,2011
13,法学,东北财经大学,规划基金项目,符合GPA要求的政府采购救济机制构建研究,张幸临,2011
14,法学,东北林业大学,规划基金项目,非公有制林业管理法律制度体系研究,包玉华,2011
15,法学,对外经济贸易大学,规划基金项目,中国发展低碳金融的法律保障体系研究,丁丁,2011
16,法学,对外经济贸易大学,规划基金项目,我国证券市场国际板设立中法律问题研究,马其家,2011
17,法学,广东金融学院,规划基金项目,知识产权交叉案件合一审判模式的司法公信力研究,安雪梅,2011
18,法学,广东外语外贸大学,规划基金项目,电子化行政行为及其法律规制研究,杨桦,2011
19,法学,广西师范大学,规划基金项目,RTA协定中投资机制研究——兼论以FTA中的投资规则保护中国海外投资,杨丽艳,2011
20,法学,贵州师范大学,规划基金项目,民族区域自治权的虚置及其对策研究——基于黔东南苗族侗族自治州的实证分析,杨贵生,2011
21,法学,哈尔滨工业大学,规划基金项目,一个中国原则下两岸关系和平发展中的法律问题研究,葛勇平,2011
22,法学,哈尔滨商业大学,规划基金项目,涉及公众人物侵权问题研究,王福友,2011
23,法学,海南大学,规划基金项目,我国民法典中私权一体化与三元结构的立法设计,李建华,2011
24,法学,海南大学,规划基金项目,南海油气资源开发法律问题研究,张丽娜,2011
25,法学,海南大学,规划基金项目,海南国际旅游岛建设所涉知识产权培育、保护和利用问题研,刘远山,2011
26,法学,河南财经政法大学,规划基金项目,清末民初习惯法与国家法的关系探析——立足于社会控制的,马珺,2011
27,法学,黑龙江大学,规划基金项目,我国票据法修改方案的设计及其立法理由,董惠江,2011
28,法学,黑龙江大学,规划基金项目,俄罗斯法治进程中的文化影响力研究,杨昌宇,2011
29,法学,黑龙江大学,规划基金项目,生态保护与物权配置研究,陈文,2011
30,法学,湖南大学,规划基金项目,消费者保护中的冷却期制度研究,张靖,2011
31,法学,湖南警察学院,规划基金项目,虚拟社会治安防控研究,周定平,2011
32,法学,湖南农业大学,规划基金项目,竞争政策视野下商标法理论研究——关系、协调及制度构建,罗晓霞,2011
33,法学,湖南人文科技学院,规划基金项目,农村宅基地使用权法律问题研究,袁锦秀,2011
34,法学,湖南商学院,规划基金项目,能动司法语境下非正式法源适用研究,胡君,2011
35,法学,湖南师范大学,规划基金项目,两岸投资关系的法律问题研究,吴智,2011
36,法学,湖南师范大学,规划基金项目,法院裁判与民意的冲突及其解决机制,朱立恒,2011
37,法学,湖南师范大学,规划基金项目,地方人大与其常委会立法权限划分研究,肖巧平,2011
38,法学,华东政法大学,规划基金项目,《条约保留实践指南》及其与中国条约保留制度完善之研究,王勇,2011
39,法学,华东政法大学,规划基金项目,重罪案件刑事和解中价值冲突及裁判平衡研究,李翔,2011
40,法学,华东政法大学,规划基金项目,十二五期间我国商法领域工作重点——票据法修改,李伟群,2011
41,法学,华东政法大学,规划基金项目,改革中中国立法的作用,刘松山,2011
42,法学,华东政法大学,规划基金项目,经营者合并审查中的效率抗辩制度研究,钟文兴,2011
43,法学,华南理工大学,规划基金项目,基因信息的法律保护与基因伦理的构建,周莳文,2011
44,法学,华南农业大学,规划基金项目,统筹城乡建设用地整理及再开发法律规制研究——基于当前土地“新政”实践之检,王权典,2011
45,法学,华中师范大学,规划基金项目,县级政府依法行政动力的优化与开发研究,姚锐敏,2011
46,法学,淮北师范大学,规划基金项目,区域合作背景下地方联合立法研究,王春业,2011
47,法学,惠州学院,规划基金项目,京师同文馆输入的西方法学及其术语研究——以《万国公法》为中心,万齐洲,2011
48,法学,吉林大学,规划基金项目,我国破产重整制度的法经济学分析,齐明,2011
49,法学,吉林大学,规划基金项目,行政诉讼案例类型化研究,于立深,2011
50,法学,嘉兴学院,规划基金项目,精细化司法证明中逻辑与经验基本问题研究,李树真,2011
51,法学,江南大学,规划基金项目,法律适用中的法律解释之客观性研究,雷玉德,2011
52,法学,江苏大学,规划基金项目,社会资本理论视阈下的公民参与社区矫正研究,周国强,2011
53,法学,江西财经大学,规划基金项目,互联网产业的反垄断法适用问题研究,蒋岩波,2011
54,法学,九江学院,规划基金项目,环境侵害之国家赔偿责任研究,贺思源,2011
55,法学,辽宁大学,规划基金项目,银行监管权配置的法律问题研究,杨松,2011
56,法学,南京大学,规划基金项目,后金融危机时代公司治理规制创新研究,吴建斌,2011
57,法学,南京大学,规划基金项目,经济犯罪刑事政策研究,孙国祥,2011
58,法学,南京理工大学,规划基金项目,反垄断法实施中的行业协会研究——正功能及其机理,董新凯,2011
59,法学,南京审计学院,规划基金项目,我国区（县）法治绩效评估体系研究,刘爱龙,2011
60,法学,南京师范大学,规划基金项目,法院职权优化配置研究,贺日开,2011
61,法学,南京师范大学,规划基金项目,网络民意的司法回应机制研究,季金华,2011
62,法学,曲阜师范大学,规划基金项目,群体性事件下的依法治县研究,张益刚,2011
63,法学,山东大学,规划基金项目,涉外民事关系法律适用法的司法解释问题研究,许庆坤,2011
64,法学,山东工商学院,规划基金项目,刑事瑕疵证据的实证研究与理论阐释,胡忠惠,2011
65,法学,山东理工大学,规划基金项目,环境刑法实施效率研究,张福德,2011
66,法学,山东理工大学,规划基金项目,刑法的边界研究,杨春然,2011
67,法学,山东理工大学,规划基金项目,发展低碳经济的政策法律研究,朱伯玉,2011
68,法学,山东政法学院,规划基金项目,刑事辩护中的利益冲突与执业规范建构研究,杨晓静,2011
69,法学,山东政法学院,规划基金项目,从传统到现代：英国法律人才培养机制转型研究,韩慧,2011
70,法学,山东政法学院,规划基金项目,中韩环境犯罪的比较研究,张霞,2011
71,法学,山西大学,规划基金项目,山西省转型综合改革试验区建设中土地管理机制创新研究,何建华,2011
72,法学,汕头大学,规划基金项目,未成年人救助与保障制度研究,熊金才,2011
73,法学,上海海事大学,规划基金项目,物权法实施中农民土地财产权保护问题研究－－从农地动态利用角度,王铁雄,2011
74,法学,沈阳师范大学,规划基金项目,刑事被害人的社会保障制度研究---以加强和创新社会管理,田鹏辉,2011
75,法学,首都经济贸易大学,规划基金项目,新媒体法律规制研究,郑文明,2011
76,法学,首都经济贸易大学,规划基金项目,国际组织在我国的法律地位,谢海霞,2011
77,法学,四川大学,规划基金项目,中国民间对日索赔中的国际法问题研究—以重庆大轰炸受害者索赔为典型的实,金明,2011
78,法学,四川大学,规划基金项目,清代官箴及其在清代地方司法中的影响——以清代四川为,赵娓妮,2011
79,法学,苏州大学,规划基金项目,私人参与履行警察任务的行政法研究,章志远,2011
80,法学,苏州大学,规划基金项目,城镇化政府推进的程序法理,孙莉,2011
81,法学,天津商业大学,规划基金项目,民事政策的法源性研究,齐恩平,2011
82,法学,武汉大学,规划基金项目,收入分配调整与金融法制的变革——以金融资源的公平配置为中心,冯果,2011
83,法学,武汉大学,规划基金项目,香港特别行政区基本法解释问题研究,秦前红,2011
84,法学,武汉大学,规划基金项目,和谐社会建设与合作式司法改革,任华哲,2011
85,法学,武汉大学,规划基金项目,审计实务中企业合同效力控制研究----以防范国有资产流失为考察点,黎桦,2011
86,法学,西北政法大学,规划基金项目,侵权责任法实施问题研究,孙玉红,2011
87,法学,西北政法大学,规划基金项目,个人的国际刑事责任研究,喻贵英,2011
88,法学,西北政法大学,规划基金项目,社区矫正的风险评估与管控机制研究,冯卫国,2011
89,法学,西南交通大学,规划基金项目,专利添附制度研究——以中国高铁技术创新与发展为例,陈家宏,2011
90,法学,西南科技大学,规划基金项目,社会管理创新下的西部民族地区多元纠纷解决机制研究,刘永强,2011
91,法学,西南民族大学,规划基金项目,城乡统筹背景下“小产权房”法律规制研究,吴爱辉,2011
92,法学,西南政法大学,规划基金项目,量刑程序中的证据和证明问题研究,张吉喜,2011
