序号,学科门类,学校名称,项目类别,项目名称,申请人,年份
1,高校示范马克思主义学院和优秀教学科研团队建设项目,北京大学,重点选题,思想政治理论课专题式教学设计与实践,魏波,2016
2,高校示范马克思主义学院和优秀教学科研团队建设项目,兰州大学,重点选题,思想政治理论课专题式教学设计与实践,张新平,2016
3,高校示范马克思主义学院和优秀教学科研团队建设项目,中山大学,重点选题,大学生思想政治理论课认同的影响因素研究,李萍,2016
4,高校示范马克思主义学院和优秀教学科研团队建设项目,北京师范大学,重点选题,思想政治理论课教师队伍教学能力建设研究,熊晓琳,2016
5,高校示范马克思主义学院和优秀教学科研团队建设项目,辽宁大学,重点选题,高校党委思想政治理论课建设责任制研究,周浩波,2016
6,高校示范马克思主义学院和优秀教学科研团队建设项目,复旦大学,重点选题,思想政治理论课教学借鉴其他学科研究成果研究,徐蓉,2016
7,高校示范马克思主义学院和优秀教学科研团队建设项目,南开大学,重点选题,思想政治理论课专题式教学设计与实践,寇清杰,2016
8,高校示范马克思主义学院和优秀教学科研团队建设项目,吉林大学,重点选题,思想政治理论课教学借鉴其他学科研究成果研究,陈松友,2016
9,高校示范马克思主义学院和优秀教学科研团队建设项目,安徽大学,重点选题,思想政治理论课专题式教学设计与实践,侯惠勤,2016
10,高校示范马克思主义学院和优秀教学科研团队建设项目,上海交通大学,重点选题,思想政治理论课精彩教案、精彩课件建设,朱健,2016
11,高校示范马克思主义学院和优秀教学科研团队建设项目,南京大学,重点选题,思想政治理论课专题式教学设计与实践,沈伯平,2016
12,高校示范马克思主义学院和优秀教学科研团队建设项目,厦门大学,重点选题,思想政治理论课专题式教学设计与实践,石红梅,2016
13,高校示范马克思主义学院和优秀教学科研团队建设项目,西南交通大学,重点选题,大学生思想政治理论课学习状况研究,林伯海,2016
14,高校示范马克思主义学院和优秀教学科研团队建设项目,新疆师范大学,重点选题,民族地区思想政治理论课教师队伍建设研究,周月华,2016
15,高校示范马克思主义学院和优秀教学科研团队建设项目,苏州大学,重点选题,马克思主义学院领导班子建设研究,张才君,2016
16,高校示范马克思主义学院和优秀教学科研团队建设项目,安徽工程大学,重点选题,行业类院校思想政治理论课建设研究,李卫华,2016
17,高校示范马克思主义学院和优秀教学科研团队建设项目,云南大学,重点选题,高校党委思想政治理论课建设责任制研究,杨林,2016
18,高校示范马克思主义学院和优秀教学科研团队建设项目,湖南师范大学,重点选题,大学生思想政治理论课认同的影响因素研究,刘先江,2016
19,高校示范马克思主义学院和优秀教学科研团队建设项目,河南大学,重点选题,落实《高等学校思想政治理论课建设标准》评估及完善研究,张兴茂,2016
20,高校示范马克思主义学院和优秀教学科研团队建设项目,湖南铁道职业技术学院,重点选题,行业类院校思想政治理论课建设研究,田文艳,2016
21,高校示范马克思主义学院和优秀教学科研团队建设项目,湘潭大学,重点选题,思想政治理论课教师社会实践模式研究,刘建平,2016
22,高校示范马克思主义学院和优秀教学科研团队建设项目,河北大学,重点选题,思想政治理论课教师社会实践模式研究,黄云明,2016
23,高校示范马克思主义学院和优秀教学科研团队建设项目,江苏大学,重点选题,思想政治理论课教师队伍教学能力建设研究,缪子梅,2016
24,高校示范马克思主义学院和优秀教学科研团队建设项目,武汉理工大学,重点选题,思想政治理论课教师队伍教学能力建设研究,王能东,2016
25,高校示范马克思主义学院和优秀教学科研团队建设项目,山东商业职业技术学院,重点选题,高职高专思想政治理论课教学方法研究,马广水,2016
26,高校示范马克思主义学院和优秀教学科研团队建设项目,安庆职业技术学院,重点选题,高职高专思想政治理论课必修课教学建议,孙晓峰,2016
27,高校示范马克思主义学院和优秀教学科研团队建设项目,安徽财经大学,重点选题,行业类院校思想政治理论课建设研究,汪先平,2016
28,高校示范马克思主义学院和优秀教学科研团队建设项目,中国青年政治学院,重点选题,政法类院校思想政治理论课建设研究,李伟,2016
29,高校示范马克思主义学院和优秀教学科研团队建设项目,华中师范大学,重点选题,思想政治理论课在线课程建设研究,张凤华,2016
30,高校示范马克思主义学院和优秀教学科研团队建设项目,宁夏大学,重点选题,民族地区思想政治理论课教师队伍建设研究,党锐锋,2016
31,高校示范马克思主义学院和优秀教学科研团队建设项目,贵州师范大学,重点选题,大学生思想政治理论课认同的影响因素研究,汪勇,2016
32,高校示范马克思主义学院和优秀教学科研团队建设项目,华东师范大学,重点选题,本硕博相衔接的马克思主义理论人才培养体系建设研究,解超,2016
33,高校示范马克思主义学院和优秀教学科研团队建设项目,长沙民政职业技术学院,重点选题,高职高专思想政治理论课教学方法研究——基于互联网云平台的高职思想政治理论课教学方法改革研究,唐召云,2016
