序号,年份,学科门类,项目类别,项目名称,申请人,学校名称
1.0,2011,法学,规划基金项目,回应型监督理论与监督机制研究：以县委权力为例,杨成炬,安徽大学
2.0,2011,法学,规划基金项目,我国危害食品安全犯罪体系研究,陈结淼,安徽大学
3.0,2011,法学,规划基金项目,企业慈善捐赠法律保障机制研究,戚枝淬,安徽工业大学
4.0,2011,法学,规划基金项目,节能减排背景下政府环境责任实现机制研究,邓可祝,安徽工业大学
5.0,2011,法学,规划基金项目,我国原子能立法研究,唐应茂,北京大学
6.0,2011,法学,规划基金项目,国际视野中的我国反洗钱立法与完善,王新,北京大学
7.0,2011,法学,规划基金项目,体育知识产权保护问题研究,徐康平,北京工商大学
8.0,2011,法学,规划基金项目,内幕交易监管的困境及其对策研究,聂孝红,北京工业大学
9.0,2011,法学,规划基金项目,后金融危机时代中国制造业产业升级的知识产权战略研究,靳晓东,北京工业大学
10.0,2011,法学,规划基金项目,事业单位改革中法人治理结构及其法律调控模式研究,夏利民,北京师范大学
11.0,2011,法学,规划基金项目,社会转型期的群体性暴力事件与“仇恨犯罪”治理控制研究,王文华,北京外国语大学
12.0,2011,法学,规划基金项目,西北地区能源开发生态保护长效机制研究,刘志,长安大学
13.0,2011,法学,规划基金项目,符合GPA要求的政府采购救济机制构建研究,张幸临,东北财经大学
14.0,2011,法学,规划基金项目,非公有制林业管理法律制度体系研究,包玉华,东北林业大学
15.0,2011,法学,规划基金项目,中国发展低碳金融的法律保障体系研究,丁丁,对外经济贸易大学
16.0,2011,法学,规划基金项目,我国证券市场国际板设立中法律问题研究,马其家,对外经济贸易大学
17.0,2011,法学,规划基金项目,知识产权交叉案件合一审判模式的司法公信力研究,安雪梅,广东金融学院
18.0,2011,法学,规划基金项目,电子化行政行为及其法律规制研究,杨桦,广东外语外贸大学
19.0,2011,法学,规划基金项目,RTA协定中投资机制研究——兼论以FTA中的投资规则保护中国海外投资,杨丽艳,广西师范大学
20.0,2011,法学,规划基金项目,民族区域自治权的虚置及其对策研究——基于黔东南苗族侗族自治州的实证分析,杨贵生,贵州师范大学
21.0,2011,法学,规划基金项目,一个中国原则下两岸关系和平发展中的法律问题研究,葛勇平,哈尔滨工业大学
22.0,2011,法学,规划基金项目,涉及公众人物侵权问题研究,王福友,哈尔滨商业大学
23.0,2011,法学,规划基金项目,我国民法典中私权一体化与三元结构的立法设计,李建华,海南大学
24.0,2011,法学,规划基金项目,南海油气资源开发法律问题研究,张丽娜,海南大学
25.0,2011,法学,规划基金项目,海南国际旅游岛建设所涉知识产权培育、保护和利用问题研,刘远山,海南大学
26.0,2011,法学,规划基金项目,清末民初习惯法与国家法的关系探析——立足于社会控制的,马珺,河南财经政法大学
27.0,2011,法学,规划基金项目,我国票据法修改方案的设计及其立法理由,董惠江,黑龙江大学
28.0,2011,法学,规划基金项目,俄罗斯法治进程中的文化影响力研究,杨昌宇,黑龙江大学
29.0,2011,法学,规划基金项目,生态保护与物权配置研究,陈文,黑龙江大学
30.0,2011,法学,规划基金项目,消费者保护中的冷却期制度研究,张靖,湖南大学
31.0,2011,法学,规划基金项目,虚拟社会治安防控研究,周定平,湖南警察学院
32.0,2011,法学,规划基金项目,竞争政策视野下商标法理论研究——关系、协调及制度构建,罗晓霞,湖南农业大学
33.0,2011,法学,规划基金项目,农村宅基地使用权法律问题研究,袁锦秀,湖南人文科技学院
34.0,2011,法学,规划基金项目,能动司法语境下非正式法源适用研究,胡君,湖南商学院
35.0,2011,法学,规划基金项目,两岸投资关系的法律问题研究,吴智,湖南师范大学
36.0,2011,法学,规划基金项目,法院裁判与民意的冲突及其解决机制,朱立恒,湖南师范大学
37.0,2011,法学,规划基金项目,地方人大与其常委会立法权限划分研究,肖巧平,湖南师范大学
38.0,2011,法学,规划基金项目,《条约保留实践指南》及其与中国条约保留制度完善之研究,王勇,华东政法大学
39.0,2011,法学,规划基金项目,重罪案件刑事和解中价值冲突及裁判平衡研究,李翔,华东政法大学
40.0,2011,法学,规划基金项目,十二五期间我国商法领域工作重点——票据法修改,李伟群,华东政法大学
41.0,2011,法学,规划基金项目,改革中中国立法的作用,刘松山,华东政法大学
42.0,2011,法学,规划基金项目,经营者合并审查中的效率抗辩制度研究,钟文兴,华东政法大学
43.0,2011,法学,规划基金项目,基因信息的法律保护与基因伦理的构建,周莳文,华南理工大学
44.0,2011,法学,规划基金项目,统筹城乡建设用地整理及再开发法律规制研究——基于当前土地“新政”实践之检,王权典,华南农业大学
45.0,2011,法学,规划基金项目,县级政府依法行政动力的优化与开发研究,姚锐敏,华中师范大学
46.0,2011,法学,规划基金项目,区域合作背景下地方联合立法研究,王春业,淮北师范大学
47.0,2011,法学,规划基金项目,京师同文馆输入的西方法学及其术语研究——以《万国公法》为中心,万齐洲,惠州学院
48.0,2011,法学,规划基金项目,我国破产重整制度的法经济学分析,齐明,吉林大学
49.0,2011,法学,规划基金项目,行政诉讼案例类型化研究,于立深,吉林大学
50.0,2011,法学,规划基金项目,精细化司法证明中逻辑与经验基本问题研究,李树真,嘉兴学院
51.0,2011,法学,规划基金项目,法律适用中的法律解释之客观性研究,雷玉德,江南大学
52.0,2011,法学,规划基金项目,社会资本理论视阈下的公民参与社区矫正研究,周国强,江苏大学
53.0,2011,法学,规划基金项目,互联网产业的反垄断法适用问题研究,蒋岩波,江西财经大学
54.0,2011,法学,规划基金项目,环境侵害之国家赔偿责任研究,贺思源,九江学院
55.0,2011,法学,规划基金项目,银行监管权配置的法律问题研究,杨松,辽宁大学
56.0,2011,法学,规划基金项目,后金融危机时代公司治理规制创新研究,吴建斌,南京大学
57.0,2011,法学,规划基金项目,经济犯罪刑事政策研究,孙国祥,南京大学
58.0,2011,法学,规划基金项目,反垄断法实施中的行业协会研究——正功能及其机理,董新凯,南京理工大学
59.0,2011,法学,规划基金项目,我国区（县）法治绩效评估体系研究,刘爱龙,南京审计学院
60.0,2011,法学,规划基金项目,法院职权优化配置研究,贺日开,南京师范大学
61.0,2011,法学,规划基金项目,网络民意的司法回应机制研究,季金华,南京师范大学
62.0,2011,法学,规划基金项目,群体性事件下的依法治县研究,张益刚,曲阜师范大学
63.0,2011,法学,规划基金项目,涉外民事关系法律适用法的司法解释问题研究,许庆坤,山东大学
64.0,2011,法学,规划基金项目,刑事瑕疵证据的实证研究与理论阐释,胡忠惠,山东工商学院
65.0,2011,法学,规划基金项目,环境刑法实施效率研究,张福德,山东理工大学
66.0,2011,法学,规划基金项目,刑法的边界研究,杨春然,山东理工大学
67.0,2011,法学,规划基金项目,发展低碳经济的政策法律研究,朱伯玉,山东理工大学
68.0,2011,法学,规划基金项目,刑事辩护中的利益冲突与执业规范建构研究,杨晓静,山东政法学院
69.0,2011,法学,规划基金项目,从传统到现代：英国法律人才培养机制转型研究,韩慧,山东政法学院
70.0,2011,法学,规划基金项目,中韩环境犯罪的比较研究,张霞,山东政法学院
71.0,2011,法学,规划基金项目,山西省转型综合改革试验区建设中土地管理机制创新研究,何建华,山西大学
72.0,2011,法学,规划基金项目,未成年人救助与保障制度研究,熊金才,汕头大学
73.0,2011,法学,规划基金项目,物权法实施中农民土地财产权保护问题研究－－从农地动态利用角度,王铁雄,上海海事大学
74.0,2011,法学,规划基金项目,刑事被害人的社会保障制度研究---以加强和创新社会管理,田鹏辉,沈阳师范大学
75.0,2011,法学,规划基金项目,新媒体法律规制研究,郑文明,首都经济贸易大学
76.0,2011,法学,规划基金项目,国际组织在我国的法律地位,谢海霞,首都经济贸易大学
77.0,2011,法学,规划基金项目,中国民间对日索赔中的国际法问题研究—以重庆大轰炸受害者索赔为典型的实,金明,四川大学
78.0,2011,法学,规划基金项目,清代官箴及其在清代地方司法中的影响——以清代四川为,赵娓妮,四川大学
79.0,2011,法学,规划基金项目,私人参与履行警察任务的行政法研究,章志远,苏州大学
80.0,2011,法学,规划基金项目,城镇化政府推进的程序法理,孙莉,苏州大学
81.0,2011,法学,规划基金项目,民事政策的法源性研究,齐恩平,天津商业大学
82.0,2011,法学,规划基金项目,收入分配调整与金融法制的变革——以金融资源的公平配置为中心,冯果,武汉大学
83.0,2011,法学,规划基金项目,香港特别行政区基本法解释问题研究,秦前红,武汉大学
84.0,2011,法学,规划基金项目,和谐社会建设与合作式司法改革,任华哲,武汉大学
85.0,2011,法学,规划基金项目,审计实务中企业合同效力控制研究----以防范国有资产流失为考察点,黎桦,武汉大学
86.0,2011,法学,规划基金项目,侵权责任法实施问题研究,孙玉红,西北政法大学
87.0,2011,法学,规划基金项目,个人的国际刑事责任研究,喻贵英,西北政法大学
